['loss', 'accuracy', 'val_loss', 'val_accuracy']
[0.440484 0.899384 0.869148 0.139085]
[0.391504 0.951274 0.638577 0.538929]
[0.388433 0.954138 0.664187 0.492589]
[0.388643 0.954008 0.722705 0.395928]
[0.385236 0.957299 0.541186 0.715948]
[0.381004 0.961791 0.436455 0.886299]
[0.379932 0.962769 0.538453 0.693547]
[0.379502 0.963189 0.431082 0.876751]
[0.376906 0.966032 0.654673 0.513171]
[0.376759 0.966552 0.49032  0.782621]
[0.376303 0.967165 0.406955 0.941757]
[0.374803 0.968908 0.51677  0.740951]
[0.373473 0.970423 0.400874 0.93051 ]
[0.373228 0.97062  0.44178  0.860359]
[0.373033 0.971019 0.431684 0.879461]
